SSID: Error 404
Datetime: 06/04/2025 06:02:06
Datetime_alt: 202506040602
Signal_Strength: 70% 

Pinging google.com [2607:f8b0:4002:c06::66] with 32 bytes of data:
Reply from 2607:f8b0:4002:c06::66: time=19ms 
Reply from 2607:f8b0:4002:c06::66: time=80ms 
Reply from 2607:f8b0:4002:c06::66: time=121ms 
Reply from 2607:f8b0:4002:c06::66: time=22ms 
Reply from 2607:f8b0:4002:c06::66: time=20ms 
Reply from 2607:f8b0:4002:c06::66: time=54ms 
Reply from 2607:f8b0:4002:c06::66: time=83ms 
Reply from 2607:f8b0:4002:c06::66: time=13ms 
Reply from 2607:f8b0:4002:c06::66: time=35ms 
Reply from 2607:f8b0:4002:c06::66: time=69ms 
Reply from 2607:f8b0:4002:c06::66: time=52ms 
Reply from 2607:f8b0:4002:c06::66: time=32ms 
Reply from 2607:f8b0:4002:c06::66: time=14ms 
Reply from 2607:f8b0:4002:c06::66: time=104ms 
Reply from 2607:f8b0:4002:c06::66: time=28ms 
Reply from 2607:f8b0:4002:c06::66: time=99ms 
Reply from 2607:f8b0:4002:c06::66: time=36ms 
Reply from 2607:f8b0:4002:c06::66: time=11ms 
Reply from 2607:f8b0:4002:c06::66: time=47ms 
Reply from 2607:f8b0:4002:c06::66: time=68ms 
Reply from 2607:f8b0:4002:c06::66: time=14ms 
Reply from 2607:f8b0:4002:c06::66: time=71ms 
Reply from 2607:f8b0:4002:c06::66: time=265ms 
Reply from 2607:f8b0:4002:c06::66: time=128ms 
Reply from 2607:f8b0:4002:c06::66: time=22ms 
Reply from 2607:f8b0:4002:c06::66: time=10ms 
Reply from 2607:f8b0:4002:c06::66: time=15ms 
Reply from 2607:f8b0:4002:c06::66: time=111ms 
Reply from 2607:f8b0:4002:c06::66: time=26ms 
Reply from 2607:f8b0:4002:c06::66: time=19ms 
General failure.
Reply from 2607:f8b0:4002:c06::66: time=21ms 
Reply from 2607:f8b0:4002:c06::66: time=23ms 
Reply from 2607:f8b0:4002:c06::66: time=39ms 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 

Ping statistics for 2607:f8b0:4002:c06::66:
    Packets: Sent = 100, Received = 33, Lost = 67 (67% loss),
Approximate round trip times in milli-seconds:
    Minimum = 10ms, Maximum = 265ms, Average = 53ms
