SSID: Error 404+
Datetime: Mon May 11 09:51:39 PM EDT 2026
Datetime_alt: 202605112151
Signal_Strength: 93
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=73.0 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=77.8 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=74.2 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=76.1 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=77.7 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=66.1 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=75.4 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=67.7 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=72.5 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=96.0 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=107 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=76.0 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=63.0 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=68.7 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=68.8 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=71.4 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=66.7 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=70.1 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=73.5 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=78.4 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=65.4 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=67.7 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=70.3 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=66.5 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=75.2 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=67.3 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=60.4 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=68.3 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=77.2 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=68.9 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=77.4 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=67.8 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=57.7 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=71.4 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=75.0 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=87.5 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=74.9 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=77.5 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=71.0 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=69.4 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=64.7 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=75.0 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=30.0 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=71.7 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=78.0 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=70.1 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=68.4 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=77.3 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=73.0 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=69.6 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=79.5 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=60.4 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=70.6 ms
