SSID: Error 404
Datetime: 04/28/2025 06:00:16
Datetime_alt: 202504280600
Signal_Strength: 88% 

Pinging google.com [2607:f8b0:4002:c0f::66] with 32 bytes of data:
Request timed out.
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=78ms 
Reply from 2607:f8b0:4002:c0f::66: time=11ms 
Reply from 2607:f8b0:4002:c0f::66: time=30ms 
Reply from 2607:f8b0:4002:c0f::66: time=14ms 
Reply from 2607:f8b0:4002:c0f::66: time=39ms 
Reply from 2607:f8b0:4002:c0f::66: time=123ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=13ms 
Reply from 2607:f8b0:4002:c0f::66: time=14ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=24ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=125ms 
Reply from 2607:f8b0:4002:c0f::66: time=14ms 
Reply from 2607:f8b0:4002:c0f::66: time=12ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=8ms 
Reply from 2607:f8b0:4002:c0f::66: time=21ms 
Reply from 2607:f8b0:4002:c0f::66: time=13ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=23ms 
Reply from 2607:f8b0:4002:c0f::66: time=11ms 
Reply from 2607:f8b0:4002:c0f::66: time=27ms 
Reply from 2607:f8b0:4002:c0f::66: time=30ms 
Reply from 2607:f8b0:4002:c0f::66: time=35ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=11ms 
Reply from 2607:f8b0:4002:c0f::66: time=34ms 
Reply from 2607:f8b0:4002:c0f::66: time=12ms 
Reply from 2607:f8b0:4002:c0f::66: time=50ms 
Reply from 2607:f8b0:4002:c0f::66: time=38ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=13ms 
Reply from 2607:f8b0:4002:c0f::66: time=14ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=12ms 
Reply from 2607:f8b0:4002:c0f::66: time=69ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=21ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=11ms 
Reply from 2607:f8b0:4002:c0f::66: time=19ms 
Reply from 2607:f8b0:4002:c0f::66: time=13ms 
Reply from 2607:f8b0:4002:c0f::66: time=76ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=38ms 
Reply from 2607:f8b0:4002:c0f::66: time=13ms 
Reply from 2607:f8b0:4002:c0f::66: time=18ms 
Reply from 2607:f8b0:4002:c0f::66: time=32ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=86ms 
Reply from 2607:f8b0:4002:c0f::66: time=15ms 
Reply from 2607:f8b0:4002:c0f::66: time=37ms 
Reply from 2607:f8b0:4002:c0f::66: time=12ms 
Reply from 2607:f8b0:4002:c0f::66: time=36ms 
Reply from 2607:f8b0:4002:c0f::66: time=13ms 
Reply from 2607:f8b0:4002:c0f::66: time=16ms 
Reply from 2607:f8b0:4002:c0f::66: time=122ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=12ms 
Reply from 2607:f8b0:4002:c0f::66: time=12ms 
Reply from 2607:f8b0:4002:c0f::66: time=41ms 
Reply from 2607:f8b0:4002:c0f::66: time=9ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=7ms 
Reply from 2607:f8b0:4002:c0f::66: time=24ms 
Reply from 2607:f8b0:4002:c0f::66: time=34ms 
Reply from 2607:f8b0:4002:c0f::66: time=11ms 
Reply from 2607:f8b0:4002:c0f::66: time=32ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=12ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
Reply from 2607:f8b0:4002:c0f::66: time=30ms 
Reply from 2607:f8b0:4002:c0f::66: time=35ms 
Reply from 2607:f8b0:4002:c0f::66: time=10ms 
