SSID: Error 404
Datetime: Mon May 11 09:49:38 PM EDT 2026
Datetime_alt: 202605112149
Signal_Strength: 53
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=77.3 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=57.1 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=78.8 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=80.8 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=94.2 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=73.7 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=85.9 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=76.4 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=66.8 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=74.0 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=64.7 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=71.6 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=63.7 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=74.3 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=70.8 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=126 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=72.3 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=72.9 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=77.9 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=32.9 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=81.9 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=77.2 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=84.8 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=72.9 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=94.0 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=72.7 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=70.3 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=72.1 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=79.0 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=77.0 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=73.8 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=61.8 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=67.1 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=63.7 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=133 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=91.2 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=72.7 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=82.1 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=73.3 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=113 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=70.5 ms
