SSID: Error 404_EXT
Datetime: Mon Jun 23 05:34:09 AM EDT 2025
Datetime_alt: 202506230534
Signal_Strength: 65
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=23.9 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=45.2 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=78.2 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=55.7 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=108 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=72.0 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=64.7 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=87.2 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=58.9 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=66.1 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=38.4 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=141 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=38.2 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=28.5 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=122 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=122 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=54.4 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=159 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=60.0 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=59.5 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=68.2 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=30.0 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=42.3 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=69.9 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=23.5 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=55.8 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=218 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=69.2 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=93.6 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=44.6 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=88.2 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=75.9 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=83.9 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=49.8 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=118 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=82.4 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=32.8 ms
