SSID: Error 404_EXT
Datetime: Tue Jul 15 05:34:12 AM EDT 2025
Datetime_alt: 202507150534
Signal_Strength: 63
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=42.6 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=171 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=233 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=216 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=226 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=211 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=226 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=179 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=135 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=194 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=169 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=161 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=179 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=224 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=92.7 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=125 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=165 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=214 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=204 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=194 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=211 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=210 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=31.8 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=148 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=156 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=150 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=266 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=198 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=198 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=220 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=204 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=153 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=203 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=210 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=188 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=214 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=32.9 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=156 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=126 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=136 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=209 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=253 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=176 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=201 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=233 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=218 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=170 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=189 ms
