SSID: Error 404_EXT
Datetime: Wed Sep 10 05:32:14 AM EDT 2025
Datetime_alt: 202509100532
Signal_Strength: 70
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=145 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=268 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=164 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=196 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=215 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=228 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=198 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=202 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=58.7 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=217 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=201 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=205 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=204 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=204 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=261 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=249 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=174 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=62.7 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=201 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=232 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=229 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=205 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=83.6 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=209 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=236 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=214 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=224 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=122 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=190 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=250 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=96.5 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=263 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=190 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=201 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=191 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=201 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=209 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=165 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=161 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=196 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=194 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=196 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=177 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=193 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=63.3 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=219 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=234 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=220 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=249 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=217 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=216 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=199 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=199 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=194 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=235 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=184 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=278 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=206 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=237 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=246 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=33.7 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=291 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=203 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=249 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=227 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=212 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=213 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=224 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=212 ms
