SSID: Error 404_EXT
Datetime: Thu Sep 11 05:36:06 AM EDT 2025
Datetime_alt: 202509110536
Signal_Strength: 70
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=67.9 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=55.7 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=34.6 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=44.3 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=53.1 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=44.8 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=47.2 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=65.9 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=52.7 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=42.2 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=59.0 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=34.9 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=46.0 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=43.6 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=36.1 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=100 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=41.9 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=60.4 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=50.8 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=64.8 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=75.5 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=37.8 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=45.6 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=55.8 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=66.6 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=52.4 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=84.7 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=50.3 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=64.4 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=78.3 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=73.2 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=40.1 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=46.1 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=35.1 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=59.2 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=56.4 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=44.2 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=76.7 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=65.0 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=41.1 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=48.2 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=47.2 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=138 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=40.9 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=54.6 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=36.1 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=63.9 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=42.7 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=29.5 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=89.1 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=58.5 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=48.2 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=50.8 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=72.0 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=95.7 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=42.8 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=29.6 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=42.0 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=51.9 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=78.4 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=81.4 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=47.8 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=45.4 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=26.9 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=75.9 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=48.6 ms
