SSID: Error 404_EXT
Datetime: Sat Oct  4 05:30:17 AM EDT 2025
Datetime_alt: 202510040530
Signal_Strength: 68
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=51.6 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=41.7 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=38.3 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=92.8 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=43.9 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=41.6 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=61.2 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=35.7 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=30.6 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=84.7 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=37.8 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=40.6 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=34.3 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=46.7 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=33.8 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=34.3 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=44.6 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=33.7 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=45.1 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=46.5 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=28.9 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=69.7 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=37.8 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=41.1 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=58.5 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=33.5 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=73.0 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=36.9 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=24.3 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=31.3 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=39.0 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=47.5 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=45.5 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=27.9 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=94.1 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=32.9 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=30.0 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=56.0 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=31.2 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=31.6 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=30.1 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=44.0 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=38.1 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=44.1 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=55.6 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=32.6 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=48.5 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=28.2 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=28.9 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=326 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=60.6 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=28.6 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=35.8 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=55.1 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=50.3 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=31.9 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=53.0 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=32.5 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=109 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=48.1 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=89.5 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=40.7 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=124 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=33.8 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=46.6 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=29.3 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=71.8 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=50.1 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=157 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=213 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=95.5 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=51.7 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=131 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=118 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=49.6 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=108 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=35.5 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=110 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=31.7 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=28.5 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=38.7 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=140 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=40.0 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=61.1 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=59.8 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=48.3 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=62.1 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=63.7 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=75.1 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=38.9 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=51.4 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=66.6 ms

--- google.com ping statistics ---
100 packets transmitted, 92 received, 8% packet loss, time 99276ms
rtt min/avg/max/mdev = 24.343/57.951/325.563/42.581 ms
