SSID: Error 404_EXT
Datetime: Mon Nov 17 05:30:16 AM EST 2025
Datetime_alt: 202511170530
Signal_Strength: 68
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=154 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=217 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=172 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=163 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=203 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=184 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=199 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=154 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=109 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=211 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=57.8 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=176 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=154 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=196 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=93.2 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=194 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=198 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=161 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=160 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=219 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=188 ms
