SSID: Error 404_EXT
Datetime: Thu Nov 20 05:32:13 AM EST 2025
Datetime_alt: 202511200532
Signal_Strength: 69
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=150 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=99.2 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=128 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=153 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=141 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=99.1 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=140 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=198 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=116 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=174 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=220 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=170 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=160 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=229 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=112 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=71.8 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=170 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=176 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=105 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=97.3 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=153 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=91.4 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=135 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=108 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=179 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=50.2 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=218 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=148 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=123 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=171 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=29.7 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=230 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=284 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=202 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=268 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=299 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=251 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=116 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=99.7 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=147 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=147 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=149 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=159 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=163 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=165 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=128 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=188 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=134 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=203 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=150 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=134 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=177 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=135 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=104 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=89.5 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=191 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=122 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=173 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=201 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=132 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=139 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=192 ms
