SSID: Error 404_EXT
Datetime: Thu Jan 29 05:36:50 AM EST 2026
Datetime_alt: 202601290536
Signal_Strength: 67
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=69.7 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=77.9 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=43.3 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=36.0 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=46.9 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=76.0 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=77.1 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=63.3 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=126 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=36.6 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=87.6 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=54.7 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=39.2 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=68.8 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=63.1 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=84.0 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=122 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=146 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=127 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=90.9 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=78.8 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=147 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=69.2 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=67.9 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=120 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=47.2 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=113 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=68.3 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=59.7 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=120 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=72.1 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=43.7 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=38.3 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=83.4 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=42.4 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=37.3 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=69.3 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=71.7 ms
