SSID: Error 404_EXT
Datetime: Thu May 28 05:38:04 AM EDT 2026
Datetime_alt: 202605280538
Signal_Strength: 70
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=104 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=93.0 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=90.2 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=95.1 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=110 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=86.8 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=58.2 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=76.2 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=81.7 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=62.5 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=96.1 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=108 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=79.0 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=104 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=97.9 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=97.8 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=78.2 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=90.8 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=99.6 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=95.9 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=91.5 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=86.6 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=64.6 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=90.3 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=91.2 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=94.9 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=90.5 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=87.5 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=68.5 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=91.2 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=96.5 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=97.2 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=85.3 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=98.9 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=91.6 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=86.2 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=90.5 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=62.8 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=90.4 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=65.5 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=89.1 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=92.5 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=82.5 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=77.6 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=98.7 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=76.2 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=93.2 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=78.3 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=92.0 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=77.8 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=80.9 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=76.7 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=90.6 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=90.9 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=76.6 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=62.1 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=75.1 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=82.9 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=98.3 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=97.5 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=80.0 ms
