SSID: Error 404 NH
Datetime: Tue Jul  8 05:30:17 AM EDT 2025
Datetime_alt: 202507080530
Signal_Strength: 61
PING google.com (2607:f8b0:4002:c09::64) 56 data bytes
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=1 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=2 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=3 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=4 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=5 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=6 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=7 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=8 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=9 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=10 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=13 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=14 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=15 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=16 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=17 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=19 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=20 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=21 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=22 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=23 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=24 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=25 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=26 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=27 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=28 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=29 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=30 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=31 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=32 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=33 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=34 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=47 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=48 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=49 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=50 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=51 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=52 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=53 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=54 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=55 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=56 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=57 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=58 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=59 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=60 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=61 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=62 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=63 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=64 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=65 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=66 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=67 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=68 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=69 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=70 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=71 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=72 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=73 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=74 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=75 Destination unreachable: Address unreachable
From TheBlackPearl (2600:1700:15e0:7c80:7743:da5e:88b2:f126) icmp_seq=76 Destination unreachable: Address unreachable
