SSID: Error 404_EXT
Datetime: Tue Jul 15 05:30:16 AM EDT 2025
Datetime_alt: 202507150530
Signal_Strength: 75
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=200 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=37.5 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=178 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=194 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=169 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=170 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=199 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=174 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=222 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=363 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=234 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=214 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=148 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=423 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=179 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=55.6 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=250 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=282 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=140 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=190 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=190 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=226 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=214 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=206 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=228 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=219 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=142 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=184 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=177 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=220 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=248 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=261 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=305 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=241 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=275 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=159 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=213 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=169 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=86.5 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=135 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=139 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=168 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=222 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=120 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=196 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=188 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=154 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=196 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=188 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=204 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=199 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=210 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=169 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=209 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=169 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=203 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=203 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=146 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=151 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=144 ms
