SSID: Error 404_EXT
Datetime: Sun Jul 20 05:32:11 AM EDT 2025
Datetime_alt: 202507200532
Signal_Strength: 68
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=21.2 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=30.8 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=18.4 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=27.9 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=27.6 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=52.2 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=40.1 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=26.5 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=21.0 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=35.7 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=25.0 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=87.7 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=21.7 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=85.7 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=29.4 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=87.9 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=38.2 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=56.3 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=74.3 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=123 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=38.9 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=51.7 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=15.3 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=22.3 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=41.6 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=43.1 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=66.3 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=11.5 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=24.3 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=32.0 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=96.4 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=34.5 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=81.2 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=25.3 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=33.7 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=56.8 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=16.0 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=156 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=99.0 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=64.6 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=14.2 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=18.6 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=33.5 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=29.1 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=75.5 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=30.8 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=37.9 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=91.7 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=34.2 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=66.3 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=76.7 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=41.2 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=39.2 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=76.9 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=66.5 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=49.6 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=37.1 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=165 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=60.7 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=41.9 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=91.3 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=72.9 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=41.0 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=45.9 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=92.6 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=43.8 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=51.9 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=50.5 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=27.5 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=33.2 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=55.4 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=20.4 ms
